keyword,occurrence,raw_total_score,normalized_total,effectiveness
item,5,0.3167017208810562,0.08241427876700234,1.1080213930436338
dust,5,0.2627390796594103,0.06837175274512851,1.1024043826348842
wax,4,0.8864355187888785,0.23067428794261668,1.0579324626375068
paint,4,0.8041876338983616,0.20927118317101634,1.0493712207288666
wavex,4,0.7077546074540254,0.18417672425358575,1.0393334371618943
finish,4,0.44807515070677834,0.11660116742082373,1.0123032144287896
application,4,0.44795945452828717,0.11657106017328518,1.0122911715297742
dresser,4,0.4468282346918019,0.11627668644303989,1.0121734220376761
spray,4,0.4092566694022228,0.1064995578348536,1.0082625705944015
black,4,0.39216114306758176,0.10205084353961022,1.0064830848763042
fading,4,0.3696139268780178,0.09618345338051323,1.0041361288126653
new,4,0.33982514916212203,0.08843161476095569,1.0010353933648424
total including,4,0.3351218077269633,0.08720767921966717,1.000545819148327
total,4,0.3351218077269633,0.08720767921966717,1.000545819148327
tax,4,0.3351218077269633,0.08720767921966717,1.000545819148327
tax shown,4,0.3351218077269633,0.08720767921966717,1.000545819148327
protects,4,0.3157313469805381,0.08216176146168731,0.998527452045135
grit,4,0.27183307461170414,0.07073825404805492,0.9939580490796821
clean,4,0.2692293379352806,0.07006069195685545,0.9936870242432023
car tyre,4,0.26640289261684846,0.06932517510603152,0.9933928175028727
tyre polish,3,0.7941672071340715,0.20666359947232626,0.9144420564608648
dashboard,3,0.6384014354768919,0.1661291694982834,0.8982282844712477
car paint,3,0.40416581760228315,0.10517478170722627,0.8738465293548249
safe,3,0.37477953699530053,0.0975276836266358,0.8707876901225887
quality,3,0.3355993017696345,0.08733193597151812,0.8667093910605416
surfaces,3,0.3057272337202319,0.07955842297411025,0.8635999858615785
restores,3,0.30060988837576624,0.07822675251588684,0.8630673176782891
sheeba,3,0.24340690378751095,0.06334100227415836,0.8571130175815977
like,3,0.2389388714657734,0.06217830047298327,0.8566479368611277
water,3,0.2046471321600904,0.05325467052022611,0.8530784848800248
material,3,0.20160357588964178,0.05246265557879163,0.852761678903451
cleans,3,0.19992163816740297,0.052024970289543115,0.8525866047877516
apply,3,0.19449721384040414,0.050613389647063155,0.8520219725307596
high,3,0.19346361309099958,0.05034441902051199,0.8519143842801392
black shine,3,0.18139206578261888,0.04720307876427894,0.8506578481776459
hydrophobic,3,0.16205930241922967,0.04217217541227208,0.8486454868368432
just,3,0.15861785427291628,0.04127661833697921,0.848287264006726
easy use,3,0.14899441615691453,0.03877234172811597,0.8472855533631808
cracking,3,0.14899441615691453,0.03877234172811597,0.8472855533631808
00 includes,3,0.13077530922459618,0.03403124163737844,0.8453891133268857
152,2,0.3242675992907889,0.08438312317568536,0.69292062247114
car wax,2,0.2764140028673963,0.07193033439806364,0.6879395069600913
220,2,0.27320155978022703,0.07109437057894523,0.6876051214324439
car tyres,2,0.26516506665256173,0.06900305960314775,0.6867685970421249
