timestamp,keyword,asin,price,rating,review_count,bsr,rank_page,rank_position,rank_absolute,product_url
2025-10-02T21:30:55.427825+00:00,saree for women,B0D4VF623W,,4.3 out of 5,3 ratings,"Best Sellers Rank: #280,865 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #16,378 in Women's Sarees",,,,https://www.amazon.in/dp/B0D4VF623W
2025-10-02T21:31:08.325932+00:00,saree for women,B0CRTNTNPL,,4.1 out of 5,530 ratings,"Best Sellers Rank: #3,036 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #151 in Women's Sarees",,,,https://www.amazon.in/dp/B0CRTNTNPL
2025-10-02T21:31:21.576767+00:00,saree for women,B0C9NNN8BH,,4.5 out of 5,12 ratings,"Best Sellers Rank: #29,692 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #1,511 in Women's Sarees",,,,https://www.amazon.in/dp/B0C9NNN8BH
2025-10-02T21:31:34.457165+00:00,saree for women,B09BZRDTMT,,4 out of 5,261 ratings,"Best Sellers Rank: #6,960 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #365 in Women's Sarees",,,,https://www.amazon.in/dp/B09BZRDTMT
2025-10-02T21:31:43.999943+00:00,saree for women,B0DNQ538X8,,4.3 out of 5,100 ratings,"Best Sellers Rank: #5,808 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #300 in Women's Sarees",4.0,32.0,212.0,https://www.amazon.in/dp/B0DNQ538X8
2025-10-02T21:31:57.455379+00:00,saree for women,B0DV357YWC,,4.3 out of 5,69 ratings,"Best Sellers Rank: #8,531 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #439 in Women's Sarees",,,,https://www.amazon.in/dp/B0DV357YWC
2025-10-02T21:32:09.524940+00:00,saree for women,B0DKY8FMFN,,4 out of 5,12 ratings,"Best Sellers Rank: #39,165 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #1,999 in Women's Sarees",,,,https://www.amazon.in/dp/B0DKY8FMFN
2025-10-02T21:32:22.395832+00:00,saree for women,B0DB8S9KW7,,,,"Best Sellers Rank: #1,761,201 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #109,060 in Women's Sarees",,,,https://www.amazon.in/dp/B0DB8S9KW7
2025-10-02T21:32:34.718037+00:00,saree for women,B0FJ2YFP76,,,,"Best Sellers Rank: #59,585 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #3,090 in Women's Sarees",,,,https://www.amazon.in/dp/B0FJ2YFP76
2025-10-02T21:32:38.876446+00:00,saree for women,B0FKYD9928,,4.8 out of 5,8 ratings,"Best Sellers Rank: #10,297 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #532 in Women's Sarees",2.0,25.0,85.0,https://www.amazon.in/dp/B0FKYD9928
